"IAB368,2500.0,-1000.0,5.0"
"IAB369,3000.0,-1000.0,5.0"
"IAB370,3500.0,-1000.0,5.0"
"IAB371,4000.0,-1000.0,5.0"
"IAB372,4500.0,-1000.0,5.0"
"IAB373,5000.0,-1000.0,5.0"
"IAB378,-5000.0,-1500.0,5.0"
"IAB379,-4500.0,-1500.0,5.0"
"IAB380,-4000.0,-1500.0,5.0"
"IAB381,-3500.0,-1500.0,5.0"
"IAB382,-3000.0,-1500.0,5.0"
"IAB383,-2500.0,-1500.0,5.0"
"IAB384,-2000.0,-1500.0,5.0"
"IAB385,-1500.0,-1500.0,5.0"
"IAB386,-1000.0,-1500.0,5.0"
"IAB387,-500.0,-1500.0,5.0"
"IAB388,0.0,-1500.0,5.0"
"IAB389,500.0,-1500.0,5.0"
"IAB390,1000.0,-1500.0,5.0"
"IAB391,1500.0,-1500.0,5.0"
"IAB392,2000.0,-1500.0,5.0"
"IAB393,2500.0,-1500.0,5.0"
"IAB394,3000.0,-1500.0,5.0"
"IAB395,3500.0,-1500.0,5.0"
"IAB396,4000.0,-1500.0,5.0"
"IAB397,4500.0,-1500.0,5.0"
"IAB398,5000.0,-1500.0,5.0"
"IAB403,-5000.0,-2000.0,5.0"
"IAB404,-4500.0,-2000.0,5.0"
"IAB405,-4000.0,-2000.0,5.0"
"IAB406,-3500.0,-2000.0,5.0"
"IAB407,-3000.0,-2000.0,5.0"
"IAB408,-2500.0,-2000.0,5.0"
"IAB409,-2000.0,-2000.0,5.0"
"IAB410,-1500.0,-2000.0,5.0"
"IAB411,-1000.0,-2000.0,5.0"
"IAB412,-500.0,-2000.0,5.0"
"IAB413,0.0,-2000.0,5.0"
"IAB414,500.0,-2000.0,5.0"
"IAB415,1000.0,-2000.0,5.0"
"IAB416,1500.0,-2000.0,5.0"
"IAB417,2000.0,-2000.0,5.0"
"IAB418,2500.0,-2000.0,5.0"
"IAB419,3000.0,-2000.0,5.0"
"IAB420,3500.0,-2000.0,5.0"
"IAB421,4000.0,-2000.0,5.0"
"IAB422,4500.0,-2000.0,5.0"
"IAB423,5000.0,-2000.0,5.0"
"IAB428,-5000.0,-2500.0,5.0"
"IAB429,-4500.0,-2500.0,5.0"
"IAB430,-4000.0,-2500.0,5.0"
"IAB431,-3500.0,-2500.0,5.0"
"IAB432,-3000.0,-2500.0,5.0"
"IAB433,-2500.0,-2500.0,5.0"
"IAB434,-2000.0,-2500.0,5.0"
"IAB435,-1500.0,-2500.0,5.0"
"IAB436,-1000.0,-2500.0,5.0"
"IAB437,-500.0,-2500.0,5.0"
"IAB438,0.0,-2500.0,5.0"
"IAB439,500.0,-2500.0,5.0"
"IAB440,1000.0,-2500.0,5.0"
"IAB441,1500.0,-2500.0,5.0"
"IAB442,2000.0,-2500.0,5.0"
"IAB443,2500.0,-2500.0,5.0"
"IAB444,3000.0,-2500.0,5.0"
"IAB445,3500.0,-2500.0,5.0"
"IAB446,4000.0,-2500.0,5.0"
"IAB447,4500.0,-2500.0,5.0"
"IAB448,5000.0,-2500.0,5.0"
"IAB453,-5000.0,-3000.0,5.0"
"IAB454,-4500.0,-3000.0,5.0"
